t,h_GR,h_model
7.5018754688672171e+00,3.6635978437929878e-01,3.6635978437929878e-01
7.5518879719929988e+00,3.6868540137717215e-01,3.6868540137717215e-01
7.6019004751187804e+00,3.7100871293991433e-01,3.7100871293991433e-01
7.6519129782445612e+00,3.7332970453957226e-01,3.7332970453957226e-01
7.7019254813703428e+00,3.7564836166270038e-01,3.7564836166270038e-01
7.7519379844961245e+00,3.7796466981045063e-01,3.7796466981045063e-01
7.8019504876219061e+00,3.8027861449866357e-01,3.8027861449866357e-01
7.8519629907476869e+00,3.8259018125795846e-01,3.8259018125795846e-01
7.9019754938734685e+00,3.8489935563382438e-01,3.8489935563382438e-01
7.9519879969992502e+00,3.8720612318671005e-01,3.8720612318671005e-01
8.0020005001250318e+00,3.8951046949211454e-01,3.8951046949211454e-01
8.0520130032508135e+00,3.9181238014067699e-01,3.9181238014067699e-01
8.1020255063765951e+00,3.9411184073826733e-01,3.9411184073826733e-01
8.1520380095023768e+00,3.9640883690607570e-01,3.9640883690607570e-01
8.2020505126281567e+00,3.9870335428070275e-01,3.9870335428070275e-01
8.2520630157539383e+00,4.0099537851424938e-01,4.0099537851424938e-01
8.3020755188797200e+00,4.0328489527440631e-01,4.0328489527440631e-01
8.3520880220055016e+00,4.0557189024454382e-01,4.0557189024454382e-01
8.4021005251312832e+00,4.0785634912380125e-01,4.0785634912380125e-01
8.4521130282570649e+00,4.1013825762717643e-01,4.1013825762717643e-01
8.5021255313828465e+00,4.1241760148561502e-01,4.1241760148561502e-01
8.5521380345086282e+00,4.1469436644609964e-01,4.1469436644609964e-01
8.6021505376344098e+00,4.1696853827173930e-01,4.1696853827173930e-01
8.6521630407601897e+00,4.1924010274185786e-01,4.1924010274185786e-01
8.7021755438859714e+00,4.2150904565208364e-01,4.2150904565208364e-01
8.7521880470117530e+00,4.2377535281443762e-01,4.2377535281443762e-01
8.8022005501375347e+00,4.2603901005742273e-01,4.2603901005742273e-01
8.8522130532633163e+00,4.2830000322611184e-01,4.2830000322611184e-01
8.9022255563890980e+00,4.3055831818223678e-01,4.3055831818223678e-01
8.9522380595148796e+00,4.3281394080427654e-01,4.3281394080427654e-01
9.0022505626406613e+00,4.3506685698754566e-01,4.3506685698754566e-01
9.0522630657664411e+00,4.3731705264428228e-01,4.3731705264428228e-01
9.1022755688922228e+00,4.3956451370373645e-01,4.3956451370373645e-01
9.1522880720180044e+00,4.4180922611225787e-01,4.4180922611225787e-01
9.2023005751437861e+00,4.4405117583338405e-01,4.4405117583338405e-01
9.2523130782695677e+00,4.4629034884792762e-01,4.4629034884792762e-01
9.3023255813953494e+00,4.4852673115406466e-01,4.4852673115406466e-01
9.3523380845211310e+00,4.5076030876742162e-01,4.5076030876742162e-01
9.4023505876469127e+00,4.5299106772116321e-01,4.5299106772116321e-01
9.4523630907726943e+00,4.5521899406607957e-01,4.5521899406607957e-01
9.5023755938984742e+00,4.5744407387067315e-01,4.5744407387067315e-01
9.5523880970242558e+00,4.5966629322124675e-01,4.5966629322124675e-01
9.6024006001500375e+00,4.6188563822198953e-01,4.6188563822198953e-01
9.6524131032758191e+00,4.6410209499506433e-01,4.6410209499506433e-01
9.7024256064016008e+00,4.6631564968069461e-01,4.6631564968069461e-01
9.7524381095273824e+00,4.6852628843725080e-01,4.6852628843725080e-01
9.8024506126531641e+00,4.7073399744133704e-01,4.7073399744133704e-01
9.8524631157789457e+00,4.7293876288787762e-01,4.7293876288787762e-01
9.9024756189047274e+00,4.7514057099020307e-01,4.7514057099020307e-01
9.9524881220305073e+00,4.7733940798013674e-01,4.7733940798013674e-01
1.0002500625156289e+01,4.7953526010808084e-01,4.7953526010808084e-01
1.0052513128282071e+01,4.8172811364310192e-01,4.8172811364310192e-01
1.0102525631407852e+01,4.8391795487301742e-01,4.8391795487301742e-01
1.0152538134533634e+01,4.8610477010448089e-01,4.8610477010448089e-01
1.0202550637659416e+01,4.8828854566306784e-01,4.8828854566306784e-01
1.0252563140785197e+01,4.9046926789336143e-01,4.9046926789336143e-01
1.0302575643910979e+01,4.9264692315903735e-01,4.9264692315903735e-01
1.0352588147036760e+01,4.9482149784294976e-01,4.9482149784294976e-01
1.0402600650162540e+01,4.9699297834721567e-01,4.9699297834721567e-01
1.0452613153288322e+01,4.9916135109330073e-01,4.9916135109330073e-01
1.0502625656414104e+01,5.0132660252210359e-01,5.0132660252210359e-01
1.0552638159539885e+01,5.0348871909404103e-01,5.0348871909404103e-01
1.0602650662665667e+01,5.0564768728913201e-01,5.0564768728913201e-01
1.0652663165791449e+01,5.0780349360708354e-01,5.0780349360708354e-01
1.0702675668917230e+01,5.0995612456737327e-01,5.0995612456737327e-01
1.0752688172043012e+01,5.1210556670933560e-01,5.1210556670933560e-01
1.0802700675168794e+01,5.1425180659224445e-01,5.1425180659224445e-01
1.0852713178294573e+01,5.1639483079539783e-01,5.1639483079539783e-01
1.0902725681420355e+01,5.1853462591820243e-01,5.1853462591820243e-01
1.0952738184546137e+01,5.2067117858025602e-01,5.2067117858025602e-01
1.1002750687671918e+01,5.2280447542143227e-01,5.2280447542143227e-01
1.1052763190797700e+01,5.2493450310196388e-01,5.2493450310196388e-01
1.1102775693923482e+01,5.2706124830252576e-01,5.2706124830252576e-01
1.1152788197049263e+01,5.2918469772431898e-01,5.2918469772431898e-01
1.1202800700175045e+01,5.3130483808915330e-01,5.3130483808915330e-01
1.1252813203300827e+01,5.3342165613953030e-01,5.3342165613953030e-01
1.1302825706426606e+01,5.3553513863872648e-01,5.3553513863872648e-01
1.1352838209552388e+01,5.3764527237087623e-01,5.3764527237087623e-01
1.1402850712678170e+01,5.3975204414105371e-01,5.3975204414105371e-01
